timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,flags,action,device_id
2026-02-11 14:58:49,192.168.1.51,162.173.233.141,55260,21,TCP,625,A,allow,switch-03
2026-02-11 14:58:58,192.168.1.69,192.168.1.11,12808,443,TCP,444,A,allow,switch-02
2026-02-11 14:59:06,227.115.246.62,192.168.1.243,45836,3306,TCP,994,A,allow,switch-01
2026-02-11 14:59:14,192.168.1.172,6.134.172.20,55676,123,UDP,632,,allow,switch-03
2026-02-11 14:59:22,192.168.1.31,208.186.105.228,54535,514,UDP,1325,,allow,switch-01
2026-02-11 14:59:30,192.168.1.193,192.168.1.229,5018,80,TCP,406,A,allow,switch-02
2026-02-11 14:59:38,192.168.1.223,31.44.101.227,33102,500,UDP,1398,,allow,switch-03
2026-02-11 14:59:46,192.168.1.239,192.168.1.4,61394,514,UDP,1494,,allow,switch-03
2026-02-11 14:59:54,75.219.230.36,192.168.1.154,27315,143,TCP,60,S,deny,firewall-main
2026-02-11 15:00:03,75.219.230.36,192.168.1.154,63047,945,TCP,60,S,deny,firewall-main
2026-02-11 15:00:11,75.219.230.36,192.168.1.154,53157,298,TCP,60,S,deny,firewall-main
2026-02-11 15:00:18,75.219.230.36,192.168.1.154,33902,148,TCP,60,S,deny,firewall-main
2026-02-11 15:00:26,75.219.230.36,192.168.1.154,30892,21,TCP,60,S,deny,firewall-main
2026-02-11 15:00:34,75.219.230.36,192.168.1.154,20968,645,TCP,60,S,deny,firewall-main
2026-02-11 15:00:43,75.219.230.36,192.168.1.154,40833,997,TCP,60,S,deny,firewall-main
2026-02-11 15:00:51,75.219.230.36,192.168.1.154,15025,302,TCP,60,S,deny,firewall-main
2026-02-11 15:00:59,75.219.230.36,192.168.1.154,20766,58,TCP,60,S,deny,firewall-main
2026-02-11 15:01:07,75.219.230.36,192.168.1.154,20854,920,TCP,60,S,deny,firewall-main
2026-02-11 15:01:14,75.219.230.36,192.168.1.154,56016,65,TCP,60,S,deny,firewall-main
