timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,flags,action,device_id
2024-01-15 08:00:00,183.231.218.170,40.138.220.227,17463,5432,TCP,675,ACK,allow,router-01
2024-01-15 08:00:00,120.233.140.126,103.73.159.249,15971,80,TCP,1044,FIN,allow,router-01
2024-01-15 08:00:01,138.57.131.188,170.219.228.16,57079,53,ICMP,1301,None,allow,router-01
2024-01-15 08:00:04,132.208.130.234,86.247.173.249,24507,8080,UDP,568,None,allow,vpn-gw
2024-01-15 08:00:04,152.161.162.205,110.0.141.206,17079,3306,TCP,1403,None,allow,ids-01
2024-01-15 08:00:04,143.234.53.164,40.104.77.93,44108,22,TCP,1047,FIN,allow,firewall-01
2024-01-15 08:00:05,16.24.188.207,26.186.175.227,41719,22,UDP,1314,None,allow,vpn-gw
2024-01-15 08:00:06,114.217.196.50,94.117.105.58,54320,80,UDP,1180,None,allow,vpn-gw
2024-01-15 08:00:07,106.126.81.77,182.205.106.165,20535,53,TCP,484,None,block,server-01
2024-01-15 08:00:07,108.165.134.53,27.192.100.188,17197,6379,UDP,705,None,allow,server-01
2024-01-15 08:00:08,143.81.207.241,10.214.82.50,60719,80,TCP,615,None,allow,router-01
2024-01-15 08:00:09,101.3.130.241,39.99.158.200,22288,0,UDP,873,None,allow,router-01
2024-01-15 08:00:11,29.151.12.14,113.95.56.172,20374,80,TCP,1068,SYN,allow,ids-01
2024-01-15 08:00:11,29.42.108.138,105.179.234.127,27724,22,UDP,1201,None,block,firewall-01
2024-01-15 08:00:11,89.248.201.20,140.172.93.214,34897,5432,TCP,126,SYN-ACK,allow,firewall-01
2024-01-15 08:00:11,70.108.119.72,60.48.43.195,54125,22,TCP,258,None,allow,vpn-gw
2024-01-15 08:00:12,115.18.172.221,20.104.122.79,30528,3306,TCP,583,SYN-ACK,allow,router-01
2024-01-15 08:00:12,26.212.121.254,165.165.249.231,43554,3306,TCP,169,FIN,block,router-01
2024-01-15 08:00:14,131.109.169.206,38.154.135.70,45931,53,TCP,475,None,block,vpn-gw
2024-01-15 08:00:15,17.133.68.115,142.61.63.152,45165,53,TCP,180,FIN,allow,ids-01
2024-01-15 08:00:16,109.180.123.1,171.6.178.214,3492,0,TCP,1069,FIN,allow,vpn-gw
2024-01-15 08:00:16,42.209.35.161,146.121.5.17,9865,8080,TCP,922,None,allow,server-01
2024-01-15 08:00:21,151.41.20.166,129.29.77.16,56180,443,TCP,74,None,allow,firewall-01
2024-01-15 08:00:21,55.133.20.188,141.121.110.252,24839,0,ICMP,47,None,allow,ids-01
2024-01-15 08:00:21,90.166.223.83,20.238.48.80,21952,53,TCP,254,PSH-ACK,allow,vpn-gw
2024-01-15 08:00:21,24.116.8.142,37.236.253.203,6135,0,TCP,1206,None,allow,router-01
2024-01-15 08:00:22,35.61.184.13,178.223.65.144,21796,0,ICMP,1221,None,allow,server-01
2024-01-15 08:00:23,180.225.38.52,171.82.2.123,32612,3306,TCP,258,FIN,allow,vpn-gw
2024-01-15 08:00:23,188.142.78.79,120.12.85.158,7501,53,TCP,537,SYN-ACK,allow,router-01
2024-01-15 08:00:23,131.255.222.93,155.62.5.247,12815,443,TCP,232,ACK,allow,router-01
2024-01-15 08:00:24,42.78.162.190,85.100.83.212,57312,3306,TCP,516,RST,allow,firewall-01
2024-01-15 08:00:26,146.249.71.55,113.255.210.228,9168,5432,TCP,907,SYN-ACK,allow,router-01
2024-01-15 08:00:27,111.231.114.131,126.158.63.63,55370,0,UDP,633,None,allow,vpn-gw
2024-01-15 08:00:28,73.54.59.176,154.191.161.203,13814,53,TCP,995,SYN-ACK,deny,vpn-gw
2024-01-15 08:00:29,100.224.99.179,158.63.230.165,13995,53,TCP,1332,None,allow,ids-01
2024-01-15 08:00:30,188.250.39.116,72.191.146.64,34918,53,TCP,1021,PSH-ACK,block,server-01
2024-01-15 08:00:32,39.101.158.108,76.199.234.240,61264,8080,TCP,216,RST,block,firewall-01
2024-01-15 08:00:32,110.125.198.99,148.81.193.150,35362,22,UDP,295,None,allow,ids-01
2024-01-15 08:00:34,57.209.151.116,167.183.187.239,32942,0,TCP,76,RST,allow,router-01
2024-01-15 08:00:34,94.95.105.123,170.96.101.59,16602,6379,TCP,332,PSH-ACK,allow,vpn-gw
2024-01-15 08:00:34,142.38.219.99,66.248.93.249,11316,6379,TCP,406,SYN,allow,firewall-01
2024-01-15 08:00:34,125.250.30.102,190.143.33.68,23660,8080,TCP,974,RST,allow,server-01
2024-01-15 08:00:36,158.227.123.184,189.114.199.2,34977,53,TCP,1012,ACK,allow,ids-01
2024-01-15 08:00:37,56.138.240.206,114.248.188.86,30929,3306,TCP,368,FIN,allow,firewall-01
2024-01-15 08:00:38,49.62.182.209,57.211.113.214,21192,22,TCP,415,SYN-ACK,allow,vpn-gw
2024-01-15 08:00:38,122.139.67.106,18.121.131.119,53208,22,TCP,1215,PSH-ACK,deny,router-01
2024-01-15 08:00:38,82.161.176.177,16.243.48.172,48173,6379,UDP,1067,None,allow,router-01
2024-01-15 08:00:43,144.195.83.139,63.202.183.156,21043,8080,TCP,545,ACK,allow,firewall-01
2024-01-15 08:00:44,75.128.254.180,21.59.238.98,55441,8080,TCP,1426,ACK,allow,router-01
2024-01-15 08:00:44,76.190.46.170,27.87.236.132,2902,443,TCP,662,RST,allow,ids-01
2024-01-15 08:00:46,169.30.249.151,56.217.2.157,8333,80,UDP,267,None,allow,server-01
2024-01-15 08:00:47,113.247.117.135,57.35.187.217,54915,3306,TCP,977,SYN-ACK,block,firewall-01
2024-01-15 08:00:48,136.66.221.83,39.11.95.74,23665,5432,TCP,236,SYN-ACK,allow,firewall-01
2024-01-15 08:00:49,154.120.12.204,23.34.99.185,10190,443,TCP,1328,SYN,allow,server-01
2024-01-15 08:00:49,161.170.102.181,92.182.199.84,1553,0,TCP,1487,ACK,allow,vpn-gw
2024-01-15 08:00:50,150.232.25.156,27.238.28.133,59852,53,UDP,843,None,allow,vpn-gw
2024-01-15 08:00:52,109.221.216.91,75.66.109.177,54210,6379,TCP,842,None,allow,firewall-01
2024-01-15 08:00:52,96.53.93.25,83.70.203.217,23998,5432,UDP,477,None,block,ids-01
2024-01-15 08:00:52,104.42.29.246,192.76.33.73,27264,0,TCP,604,ACK,allow,server-01
2024-01-15 08:00:53,104.114.166.130,129.193.186.106,39266,3306,UDP,537,None,allow,vpn-gw
2024-01-15 08:00:53,185.22.230.169,180.246.137.222,57606,443,TCP,1187,PSH-ACK,allow,vpn-gw
2024-01-15 08:00:53,156.181.248.105,168.160.217.143,39538,22,TCP,1338,ACK,block,router-01
2024-01-15 08:00:54,70.26.188.80,28.96.109.117,15593,22,UDP,1018,None,allow,vpn-gw
2024-01-15 08:00:55,97.13.39.149,85.142.10.187,3650,6379,TCP,252,ACK,allow,router-01
2024-01-15 08:00:56,161.255.8.111,47.191.31.75,28309,3306,TCP,1247,FIN,deny,router-01
2024-01-15 08:00:56,181.245.152.179,96.228.114.8,46406,3306,TCP,178,PSH-ACK,block,vpn-gw
2024-01-15 08:00:58,48.203.194.171,92.41.41.68,29970,443,TCP,533,None,allow,firewall-01
2024-01-15 08:00:59,62.213.236.45,22.162.153.252,56985,443,TCP,631,None,allow,server-01
2024-01-15 08:00:59,156.13.8.163,13.52.219.132,37177,22,TCP,1071,PSH-ACK,block,router-01
2024-01-15 08:01:00,32.72.249.184,59.148.172.187,43035,8080,TCP,457,None,allow,vpn-gw
2024-01-15 08:01:02,152.88.140.153,74.247.208.146,24353,3306,TCP,1218,SYN-ACK,allow,firewall-01
2024-01-15 08:01:02,179.22.236.83,157.141.161.94,44306,22,TCP,432,RST,block,firewall-01
2024-01-15 08:01:03,32.253.238.41,88.202.116.238,53724,3306,ICMP,1180,None,allow,server-01
2024-01-15 08:01:03,156.183.182.108,79.175.207.93,13678,3306,TCP,1484,SYN-ACK,allow,ids-01
2024-01-15 08:01:04,185.136.94.239,34.54.182.173,61825,6379,UDP,1468,None,block,server-01
2024-01-15 08:01:05,120.81.76.30,156.33.51.62,12874,80,TCP,641,None,deny,ids-01
2024-01-15 08:01:07,89.253.193.163,117.156.164.155,44806,0,TCP,1068,SYN,allow,vpn-gw
2024-01-15 08:01:08,66.214.100.161,185.15.82.229,11463,80,TCP,338,SYN,allow,router-01
2024-01-15 08:01:10,75.196.145.70,82.119.206.77,41935,8080,TCP,1468,RST,allow,server-01
2024-01-15 08:01:10,179.159.178.90,73.45.53.89,32573,53,TCP,1479,SYN-ACK,allow,server-01
2024-01-15 08:01:10,40.130.80.91,79.81.147.44,18840,6379,ICMP,737,None,allow,firewall-01
2024-01-15 08:01:11,184.217.99.140,112.24.147.46,16376,22,TCP,1483,None,allow,ids-01
2024-01-15 08:01:11,68.181.48.185,192.103.173.83,29845,6379,TCP,514,ACK,allow,router-01
2024-01-15 08:01:11,117.210.3.185,16.7.106.161,5755,80,TCP,663,RST,allow,vpn-gw
2024-01-15 08:01:11,11.153.211.171,34.137.35.222,9240,6379,TCP,354,ACK,deny,ids-01
2024-01-15 08:01:12,56.17.208.123,78.50.69.104,54818,8080,UDP,410,None,allow,vpn-gw
2024-01-15 08:01:14,85.148.16.80,157.4.231.150,60141,5432,UDP,315,None,allow,ids-01
2024-01-15 08:01:14,188.71.131.115,113.80.197.154,48379,3306,ICMP,147,None,allow,ids-01
2024-01-15 08:01:15,103.177.189.43,171.208.44.34,29325,53,TCP,881,RST,allow,server-01
2024-01-15 08:01:17,37.28.164.92,162.250.160.240,35300,5432,TCP,578,SYN,allow,ids-01
2024-01-15 08:01:17,63.188.9.215,139.89.36.241,46880,22,TCP,840,FIN,allow,ids-01
2024-01-15 08:01:17,51.139.65.214,12.201.118.203,11412,5432,UDP,622,None,allow,server-01
2024-01-15 08:01:18,40.206.167.127,160.198.188.251,23234,22,UDP,916,None,deny,ids-01
2024-01-15 08:01:20,153.178.128.44,144.107.112.221,3973,53,TCP,661,None,allow,vpn-gw
2024-01-15 08:01:20,186.219.73.141,85.58.104.116,46500,80,TCP,1294,FIN,allow,router-01
2024-01-15 08:01:23,101.110.74.186,51.133.3.238,48075,6379,TCP,170,None,allow,vpn-gw
2024-01-15 08:01:23,30.99.174.61,97.31.207.232,64434,6379,UDP,1498,None,allow,server-01
2024-01-15 08:01:24,19.15.24.217,63.149.222.47,10150,53,UDP,418,None,allow,firewall-01
2024-01-15 08:01:24,63.204.212.51,26.77.3.124,4387,53,ICMP,978,None,deny,firewall-01
2024-01-15 08:01:24,142.196.58.194,76.144.247.209,14045,53,TCP,127,FIN,allow,ids-01
2024-01-15 08:01:24,25.107.202.231,145.195.52.152,52369,53,TCP,642,RST,deny,firewall-01
2024-01-15 08:01:25,158.78.40.154,25.51.187.80,51312,0,TCP,743,RST,allow,server-01
2024-01-15 08:01:26,15.56.125.105,95.143.202.136,40585,0,TCP,144,FIN,allow,firewall-01
2024-01-15 08:01:26,66.110.139.219,25.250.183.190,24268,8080,TCP,1050,None,allow,server-01
2024-01-15 08:01:26,124.80.211.204,77.2.203.43,25981,443,TCP,1393,SYN,allow,router-01
2024-01-15 08:01:26,112.193.81.128,145.98.216.236,31508,443,UDP,1303,None,allow,router-01
2024-01-15 08:01:28,152.207.12.245,140.226.187.119,46716,53,TCP,442,RST,allow,firewall-01
2024-01-15 08:01:30,137.18.96.19,166.31.119.27,58996,53,UDP,1019,None,allow,firewall-01
2024-01-15 08:01:30,108.220.119.166,135.67.228.148,44749,3306,TCP,403,RST,allow,vpn-gw
2024-01-15 08:01:30,22.196.42.199,66.149.96.119,10498,22,TCP,183,ACK,allow,ids-01
2024-01-15 08:01:30,142.10.41.141,157.245.202.58,36354,8080,TCP,315,SYN,allow,server-01
2024-01-15 08:01:31,92.214.249.12,54.81.150.189,24739,3306,TCP,199,PSH-ACK,allow,vpn-gw
2024-01-15 08:01:31,70.189.13.129,133.227.81.22,12967,53,ICMP,1012,None,allow,server-01
2024-01-15 08:01:32,79.208.202.156,134.197.9.40,15289,53,ICMP,1487,None,allow,server-01
2024-01-15 08:01:34,34.199.208.17,72.129.193.216,57558,53,ICMP,500,None,allow,server-01
2024-01-15 08:01:35,92.212.250.153,164.63.104.204,36423,53,TCP,735,ACK,allow,router-01
2024-01-15 08:01:35,104.254.66.155,148.150.29.140,30656,22,TCP,366,PSH-ACK,allow,firewall-01
2024-01-15 08:01:36,134.96.86.36,189.118.61.138,28269,80,TCP,1351,ACK,allow,vpn-gw
2024-01-15 08:01:36,74.3.190.164,112.224.128.68,10953,0,UDP,1472,None,allow,router-01
2024-01-15 08:01:37,49.71.202.22,133.102.254.123,27217,5432,TCP,777,SYN-ACK,allow,vpn-gw
2024-01-15 08:01:39,46.132.128.116,80.245.225.173,25227,53,ICMP,689,None,allow,server-01
2024-01-15 08:01:40,102.23.94.253,118.233.156.59,54673,80,TCP,658,SYN-ACK,allow,router-01
2024-01-15 08:01:40,18.156.135.218,189.17.173.128,34256,5432,TCP,291,SYN-ACK,allow,vpn-gw
2024-01-15 08:01:41,52.122.109.135,74.32.55.218,48447,22,UDP,721,None,allow,router-01
2024-01-15 08:01:43,175.113.206.113,77.86.179.249,5302,3306,TCP,888,PSH-ACK,allow,ids-01
2024-01-15 08:01:43,44.190.51.110,187.65.224.251,57254,3306,TCP,538,None,deny,ids-01
2024-01-15 08:01:44,109.53.224.254,132.246.167.247,19441,53,TCP,651,FIN,allow,firewall-01
2024-01-15 08:01:45,92.26.52.168,66.42.15.219,3611,0,ICMP,1130,None,block,ids-01
2024-01-15 08:01:46,171.69.215.100,26.87.106.245,42872,6379,ICMP,997,None,block,ids-01
2024-01-15 08:01:48,145.107.172.169,192.120.112.167,38598,53,TCP,867,None,allow,firewall-01
2024-01-15 08:01:49,49.87.80.123,138.18.84.82,31348,443,TCP,1312,SYN,allow,server-01
2024-01-15 08:01:51,38.134.19.91,136.250.252.239,54926,443,TCP,969,RST,allow,vpn-gw
