timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,flags,action,device_id
2024-01-15 08:00:01,192.168.1.100,10.0.0.1,54321,443,TCP,1500,SYN,allow,router-01
2024-01-15 08:00:02,192.168.1.100,10.0.0.1,54321,443,TCP,1500,SYN-ACK,allow,router-01
2024-01-15 08:00:03,192.168.1.100,10.0.0.1,54321,443,TCP,1500,ACK,allow,router-01
2024-01-15 08:00:05,192.168.1.101,8.8.8.8,45678,53,UDP,64,None,allow,router-01
2024-01-15 08:00:10,192.168.1.102,172.16.0.50,33445,22,TCP,512,SYN,allow,firewall-01
2024-01-15 08:00:15,10.0.0.5,192.168.1.100,80,55443,TCP,2048,PSH-ACK,allow,server-01
2024-01-15 08:01:00,185.220.101.45,192.168.1.100,12345,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:01,185.220.101.45,192.168.1.100,12346,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:02,185.220.101.45,192.168.1.100,12347,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:03,185.220.101.45,192.168.1.100,12348,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:04,185.220.101.45,192.168.1.100,12349,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:05,185.220.101.45,192.168.1.100,12350,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:06,185.220.101.45,192.168.1.100,12351,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:07,185.220.101.45,192.168.1.100,12352,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:08,185.220.101.45,192.168.1.100,12353,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:09,185.220.101.45,192.168.1.100,12354,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:10,185.220.101.45,192.168.1.100,12355,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:01:11,185.220.101.45,192.168.1.100,12356,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:00,45.33.32.100,192.168.1.1,40000,21,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:01,45.33.32.100,192.168.1.1,40001,22,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:02,45.33.32.100,192.168.1.1,40002,23,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:03,45.33.32.100,192.168.1.1,40003,25,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:04,45.33.32.100,192.168.1.1,40004,53,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:05,45.33.32.100,192.168.1.1,40005,80,TCP,64,SYN,allow,firewall-01
2024-01-15 08:02:06,45.33.32.100,192.168.1.1,40006,110,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:07,45.33.32.100,192.168.1.1,40007,135,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:08,45.33.32.100,192.168.1.1,40008,139,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:09,45.33.32.100,192.168.1.1,40009,143,TCP,64,SYN,deny,firewall-01
2024-01-15 08:02:10,45.33.32.100,192.168.1.1,40010,443,TCP,64,SYN,allow,firewall-01
