timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,flags,action,device_id
2024-02-01 00:03:26,192.168.1.136,10.0.50.15,10357,1433,DNS,3928,None,allow,firewall-primary
2024-02-01 00:03:32,192.168.1.104,10.0.50.29,32869,53,UDP,1524,None,allow,firewall-secondary
2024-02-01 00:05:06,141.101.171.144,10.0.50.10,64465,80,UDP,1429,None,block,dmz-gateway
2024-02-01 00:05:25,172.16.10.17,10.0.50.39,59222,1433,SMTP,3596,None,allow,dmz-gateway
2024-02-01 00:08:41,172.16.10.4,10.0.50.7,49840,3389,DNS,2897,None,allow,firewall-secondary
2024-02-01 00:12:44,141.101.70.158,10.0.50.10,43743,80,UDP,1209,None,block,vpn-concentrator
2024-02-01 00:13:23,192.168.1.105,10.0.50.25,38143,3389,UDP,2761,None,allow,firewall-primary
2024-02-01 00:13:47,192.168.1.59,10.0.50.20,63800,1433,FTP,385,None,allow,ips-edge-01
2024-02-01 00:15:24,141.101.244.84,10.0.50.10,4605,80,UDP,1264,None,block,firewall-secondary
2024-02-01 00:18:22,192.168.1.90,10.0.50.24,38615,80,SSH,286,PSH-ACK,allow,ids-sensor-01
2024-02-01 00:19:04,141.101.234.8,10.0.50.10,29133,80,UDP,1458,None,block,dmz-gateway
2024-02-01 00:19:34,141.101.72.232,10.0.50.10,22445,80,UDP,1408,None,block,internal-router-01
2024-02-01 00:19:56,192.168.1.232,10.0.50.36,3724,80,HTTPS,2427,SYN-ACK,allow,vpn-concentrator
2024-02-01 00:20:23,192.168.1.190,10.0.50.43,1715,443,FTP,3204,None,allow,dmz-gateway
2024-02-01 00:21:19,172.16.10.12,10.0.50.17,13522,80,HTTP,2012,ECE,allow,ips-edge-01
2024-02-01 00:21:35,192.168.1.2,10.0.50.16,36904,445,SMTP,926,None,allow,firewall-secondary
2024-02-01 00:24:49,192.168.1.51,10.0.50.13,38054,80,UDP,3013,None,allow,dmz-gateway
2024-02-01 00:25:57,192.168.1.226,10.0.50.48,46849,3389,ICMP,2652,None,allow,vpn-concentrator
2024-02-01 00:27:42,192.168.1.204,10.0.50.44,42510,443,FTP,1297,None,allow,dmz-gateway
2024-02-01 00:27:45,192.168.1.116,10.0.50.34,57593,445,SSH,3274,URG,allow,vpn-concentrator
2024-02-01 00:27:54,192.168.1.203,10.0.50.31,5196,3389,TCP,1607,SYN,allow,ips-edge-01
2024-02-01 00:29:45,172.16.10.19,10.0.50.24,63783,445,ICMP,1611,None,allow,ids-sensor-01
2024-02-01 00:29:47,192.168.1.45,10.0.50.4,55756,769,TCP,64,SYN,deny,firewall-primary
2024-02-01 00:29:59,172.16.10.22,10.0.50.1,48696,53,HTTPS,2922,ACK,allow,firewall-secondary
2024-02-01 00:31:07,192.168.1.205,10.0.50.41,6681,443,FTP,2186,None,allow,ips-edge-01
2024-02-01 00:31:18,192.168.1.45,10.0.50.31,65203,443,TCP,64,SYN,deny,vpn-concentrator
2024-02-01 00:31:27,172.16.10.21,10.0.50.30,47045,3389,SMTP,3422,None,allow,vpn-concentrator
2024-02-01 00:31:49,192.168.1.89,10.0.50.19,29865,80,ICMP,1347,None,allow,ips-edge-01
2024-02-01 00:31:51,192.168.1.135,10.0.50.43,46546,80,ICMP,1718,None,allow,ips-edge-01
2024-02-01 00:32:55,192.168.1.45,10.0.50.38,24048,675,TCP,64,SYN,deny,ids-sensor-01
2024-02-01 00:33:56,192.168.1.193,10.0.50.24,36002,1433,SSH,3622,PSH-ACK,allow,internal-router-01
2024-02-01 00:34:11,192.168.1.130,10.0.50.26,7312,1433,DNS,920,None,allow,dmz-gateway
2024-02-01 00:37:13,192.168.1.45,10.0.50.48,16925,443,SSH,570,FIN,allow,firewall-secondary
2024-02-01 00:37:25,192.168.1.45,10.0.50.2,63904,656,TCP,64,SYN,deny,ids-sensor-01
2024-02-01 00:40:59,192.168.1.4,10.0.50.11,36681,3389,ICMP,3677,None,allow,vpn-concentrator
2024-02-01 00:41:08,192.168.1.227,10.0.50.7,21587,1433,HTTP,1660,CWR,allow,ids-sensor-01
2024-02-01 00:43:18,192.168.1.101,10.0.50.31,56554,80,HTTP,3882,FIN,allow,ips-edge-01
2024-02-01 00:43:26,185.122.3.4,10.0.50.1,14600,22,TCP,562,PSH-ACK,quarantine,vpn-concentrator
2024-02-01 00:43:44,192.168.1.45,10.0.50.2,31796,919,TCP,64,SYN,deny,dmz-gateway
2024-02-01 00:44:08,192.168.1.144,10.0.50.49,58240,1433,UDP,2835,None,allow,firewall-secondary
2024-02-01 00:44:08,192.168.1.1,10.0.50.1,21886,3389,SMTP,3809,None,allow,ids-sensor-01
2024-02-01 00:44:28,141.101.253.213,10.0.50.10,46597,80,UDP,1255,None,block,internal-router-01
2024-02-01 00:46:31,192.168.1.45,10.0.50.20,41271,383,TCP,64,SYN,deny,internal-router-01
2024-02-01 00:46:36,192.168.1.129,10.0.50.30,3091,3389,DNS,3959,None,allow,ids-sensor-01
2024-02-01 00:47:13,141.101.205.160,10.0.50.10,61787,80,UDP,1455,None,block,ids-sensor-01
2024-02-01 00:47:52,192.168.1.45,10.0.50.47,31432,989,TCP,64,SYN,deny,ips-edge-01
2024-02-01 00:50:10,198.51.100.15,10.0.50.46,17080,22,TCP,552,PSH-ACK,quarantine,ips-edge-01
2024-02-01 00:50:13,192.168.1.10,10.0.50.21,34994,80,ICMP,4066,None,allow,dmz-gateway
2024-02-01 00:50:45,192.168.1.165,10.0.50.4,24604,1433,HTTPS,1200,CWR,allow,dmz-gateway
2024-02-01 00:51:01,192.168.1.97,10.0.50.49,45944,80,UDP,840,None,allow,ids-sensor-01
2024-02-01 00:55:15,185.122.3.4,10.0.50.46,63969,22,TCP,958,PSH-ACK,quarantine,ids-sensor-01
2024-02-01 00:57:34,141.101.9.200,10.0.50.10,28082,80,UDP,1439,None,block,vpn-concentrator
2024-02-01 00:57:37,192.168.1.79,10.0.50.2,12483,1433,HTTP,3316,ACK,allow,ips-edge-01
2024-02-01 00:58:54,192.168.1.203,10.0.50.35,60299,443,FTP,3489,None,allow,ids-sensor-01
2024-02-01 00:59:59,141.101.25.249,10.0.50.10,60638,80,UDP,1336,None,block,dmz-gateway
2024-02-01 01:00:20,192.168.1.232,10.0.50.18,64630,3389,UDP,1148,None,allow,firewall-primary
2024-02-01 01:01:06,192.168.1.96,10.0.50.25,36343,3389,FTP,3613,None,allow,ids-sensor-01
2024-02-01 01:02:05,192.168.1.86,10.0.50.12,43841,443,SSH,2985,None,allow,firewall-primary
2024-02-01 01:02:05,192.168.1.92,10.0.50.6,8984,53,SSH,3073,ACK,allow,internal-router-01
2024-02-01 01:03:24,192.168.1.109,10.0.50.35,63420,445,SSH,1647,ECE,allow,internal-router-01
2024-02-01 01:07:24,192.168.1.60,10.0.50.8,19075,80,HTTPS,1606,ECE,allow,internal-router-01
2024-02-01 01:07:27,192.168.1.218,10.0.50.23,25913,1433,UDP,1847,None,allow,firewall-secondary
2024-02-01 01:08:09,172.16.10.27,10.0.50.36,30193,443,HTTP,2676,None,allow,internal-router-01
2024-02-01 01:09:35,192.168.1.102,10.0.50.14,13133,53,UDP,1379,None,allow,ips-edge-01
2024-02-01 01:11:41,192.168.1.4,10.0.50.8,34426,3389,FTP,1143,None,allow,ids-sensor-01
2024-02-01 01:12:25,192.168.1.141,10.0.50.18,45910,80,SSH,70,ECE,allow,internal-router-01
2024-02-01 01:12:39,141.101.99.72,10.0.50.10,33524,80,UDP,1243,None,block,ids-sensor-01
